"Site","Day","Q"
"STRT",2019-09-01,2762.16168554343
"STRT",2019-09-02,2728.46098353749
"STRT",2019-09-03,2659.37845401951
"STRT",2019-09-04,2608.7883050686
"STRT",2019-09-05,2572.82003842653
"STRT",2019-09-06,2542.98983467881
"STRT",2019-09-07,2538.57199323255
"STRT",2019-09-08,2485.90975935552
"STRT",2019-09-09,2463.0386332842
"STRT",2019-09-10,2434.14673214454
"STRT",2019-09-11,2508.35083006481
"STRT",2019-09-12,2508.0771584708
"STRT",2019-09-13,2452.13086546558
"STRT",2019-09-14,2370.45944262287
"STRT",2019-09-15,2361.19370436834
"STRT",2019-09-16,2334.17840844478
"STRT",2019-09-17,2326.04645250832
"STRT",2019-09-18,2380.03794841343
"STRT",2019-09-19,2360.88093683232
"STRT",2019-09-20,2376.63660145923
"STRT",2019-09-21,2407.56149158301
"STRT",2019-09-22,2542.98983467881
"STRT",2019-09-23,2408.30431448105
"STRT",2019-09-24,2313.41846324159
"STRT",2019-09-25,2305.36469918913
"STRT",2019-09-26,2265.33045457882
"STRT",2019-09-27,2240.26995575538
"STRT",2019-09-28,2236.43855343916
"STRT",2019-09-29,2235.18748329508
"STRT",2019-09-30,2252.31150589207
"STRT",2019-10-01,2214.89668939592
"STRT",2019-10-02,2446.07099445523
"STRT",2019-10-03,2538.80656888457
"STRT",2019-10-04,2469.05940835255
"STRT",2019-10-05,2505.80959383467
"STRT",2019-10-06,2390.43746898602
"STRT",2019-10-07,2290.46914528627
"STRT",2019-10-08,2266.11237341887
"STRT",2019-10-09,2277.48929254152
"STRT",2019-10-10,2383.79115884564
"STRT",2019-10-11,2525.16208512578
"STRT",2019-10-12,2356.85405480609
"STRT",2019-10-13,NA
"STRT",2019-10-14,NA
"STRT",2019-10-15,NA
"STRT",2019-10-16,NA
"STRT",2019-10-17,NA
"STRT",2019-10-18,NA
"STRT",2019-10-19,NA
"STRT",2019-10-20,NA
"STRT",2019-10-21,NA
"STRT",2019-10-22,NA
"VAUL",2019-04-29,NA
"VAUL",2019-04-30,NA
"VAUL",2019-05-01,NA
"VAUL",2019-05-02,NA
"VAUL",2019-05-03,NA
"VAUL",2019-05-04,NA
"VAUL",2019-05-05,NA
"VAUL",2019-05-06,NA
"VAUL",2019-05-07,NA
"VAUL",2019-05-08,NA
"VAUL",2019-05-09,NA
"VAUL",2019-05-10,NA
"VAUL",2019-05-11,NA
"VAUL",2019-05-12,NA
"VAUL",2019-05-13,NA
"VAUL",2019-05-14,NA
"VAUL",2019-05-15,NA
"VAUL",2019-05-16,NA
"VAUL",2019-05-17,NA
"VAUL",2019-05-18,NA
"VAUL",2019-05-19,NA
"VAUL",2019-05-20,NA
